Instance,Time,Cost,FacilityState,CustomerState
43,9.000000,13703,1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 ,13 23 9 25 4 18 27 20 8 11 25 26 17 10 13 12 9 16 20 1 27 27 18 18 18 15 30 7 30 5 11 14 15 15 10 18 26 1 22 9 30 8 29 24 25 4 27 18 18 12 20 10 10 22 13 22 20 21 4 6 6 8 26 6 30 29 2 2 26 30 
44,6.000000,7936,1 1 1 1 1 1 1 1 1 1 ,5 5 5 5 5 5 5 5 7 1 1 1 1 1 1 1 2 9 2 9 2 9 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 1 2 2 3 9 8 6 10 3 8 7 5 10 3 9 8 8 3 6 6 5 3 4 1 7 7 3 2 5 5 8 10 8 8 9 7 7 6 3 8 10 10 10 3 10 7 6 8 1 
45,11.000000,10412,1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 ,20 20 1 1 20 16 1 2 2 16 2 7 2 7 7 3 4 4 3 4 4 5 5 5 5 5 5 13 12 15 6 15 6 6 17 17 6 6 1 1 3 4 12 4 16 17 19 8 16 17 9 9 12 17 19 20 15 16 11 10 4 10 16 18 19 9 9 13 8 11 19 13 18 18 18 18 18 18 11 18 
46,9.000000,14594,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,11 30 11 1 11 1 1 16 2 29 2 23 2 12 23 22 4 4 21 20 21 5 5 6 7 5 6 8 9 9 10 17 17 10 1 3 4 26 26 29 30 19 21 30 26 15 27 18 17 29 30 28 28 24 26 27 14 19 15 25 20 16 29 19 18 18 18 28 21 13 
47,7.000000,7608,1 1 1 1 1 1 1 1 1 1 ,10 1 1 1 1 1 1 1 1 1 1 3 2 2 2 2 2 3 3 3 3 3 3 3 3 4 2 4 4 4 4 4 4 4 4 7 7 5 10 5 5 5 5 5 5 4 4 6 8 6 8 6 7 6 7 7 7 7 7 7 7 7 8 8 7 8 7 1 8 8 8 8 8 8 9 8 8 9 9 9 9 10 10 8 10 9 10 10 10 3 
48,10.000000,9710,1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,1 1 2 1 2 2 2 6 4 4 4 4 4 4 4 10 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 12 12 9 12 11 9 10 11 10 10 10 11 11 11 11 11 11 13 14 12 12 13 12 12 16 16 13 15 13 12 16 15 15 16 16 17 18 16 18 18 13 18 19 19 20 19 20 20 19 
49,9.000000,13537,1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 ,30 30 2 30 2 3 3 3 4 5 4 5 4 7 7 3 10 11 5 6 11 11 10 11 9 12 12 13 15 15 14 14 16 15 16 9 24 24 19 18 14 9 21 21 19 20 21 21 22 23 22 23 1 23 24 24 23 25 28 29 27 27 29 30 28 28 29 30 30 30 
50,9.000000,10178,1 1 1 1 1 1 1 1 1 1 ,4 7 5 1 3 3 6 6 4 8 8 5 7 10 7 10 3 3 6 4 7 1 1 5 1 5 9 9 5 4 8 8 4 4 4 6 2 10 1 7 1 7 7 10 6 6 6 6 6 4 4 9 9 1 1 1 7 7 2 3 3 8 8 8 4 4 1 5 9 8 4 7 7 7 1 5 5 4 4 5 4 6 3 3 2 10 7 9 9 8 10 2 3 9 2 3 7 10 2 6 
51,12.000000,13819,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,18 12 20 15 13 10 3 17 16 2 3 4 10 14 7 14 17 9 3 16 4 1 11 20 15 18 10 10 20 8 8 2 18 20 16 6 19 14 11 12 11 19 7 14 17 6 6 3 6 18 16 9 12 20 15 15 7 12 5 3 13 2 2 6 16 16 11 4 10 8 16 4 4 1 15 18 18 20 20 4 20 3 3 13 19 14 5 9 10 2 19 19 19 5 5 9 5 19 9 6 
52,9.000000,12027,1 1 1 1 1 1 1 1 1 1 ,7 3 8 8 8 8 8 8 4 5 5 5 4 5 5 5 5 9 6 9 9 1 4 9 9 10 10 10 10 10 10 10 6 6 7 7 7 7 7 7 7 7 7 7 8 8 5 9 9 6 6 4 3 7 3 6 9 4 4 3 7 6 6 1 1 1 2 3 3 3 2 7 3 4 4 6 4 3 3 3 7 3 1 6 6 4 4 3 6 3 2 2 2 2 2 2 4 3 3 1 
53,12.000000,16280,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,15 17 17 6 6 11 7 11 20 20 20 8 8 8 8 8 8 13 4 14 13 14 4 4 4 10 10 10 16 10 12 16 16 9 19 19 19 19 19 19 15 19 19 19 6 17 8 13 14 12 14 5 11 15 11 12 5 4 2 7 15 3 16 5 1 1 9 15 11 17 18 18 7 2 4 16 4 7 7 1 15 5 5 12 16 5 2 11 16 1 9 9 18 9 12 15 2 11 5 15 
