Instance,Time,Cost,FacilityState,CustomerState
45,10.000000,8871,0 0 0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 ,20 20 20 20 20 20 20 7 7 7 7 7 7 7 7 4 4 4 4 4 4 5 5 5 5 5 5 5 5 15 15 15 15 17 17 17 17 17 20 20 4 4 12 13 19 17 20 4 16 17 14 14 12 17 19 20 15 16 11 11 13 4 16 18 14 14 12 13 11 11 19 13 14 18 15 18 18 17 11 14 
46,12.000000,7613,0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1 ,30 30 30 30 30 24 24 2 2 2 2 2 29 2 24 3 3 4 3 4 3 5 5 5 5 5 5 9 9 9 9 9 10 10 24 3 4 25 25 29 30 4 4 24 25 19 19 28 30 29 30 28 28 24 25 19 28 19 19 25 4 19 29 19 28 28 28 28 4 19 
47,7.000000,6783,1 1 1 1 1 1 1 1 1 1 ,1 9 1 3 1 1 1 1 1 1 3 3 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 7 8 7 1 8 8 8 8 8 8 9 10 7 9 7 9 7 10 10 10 9 9 1 1 10 10 
48,14.000000,6316,1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 ,1 1 1 1 2 1 2 2 2 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 7 7 7 7 7 7 7 10 10 10 13 10 10 10 10 10 10 10 11 11 11 11 11 11 14 14 13 14 14 13 14 15 15 13 15 13 1 15 15 15 15 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 
49,7.000000,7262,1 1 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 ,1 2 2 3 2 3 3 3 5 5 5 5 5 8 8 8 8 8 8 8 8 8 9 9 9 9 8 13 13 21 13 21 9 13 13 9 19 19 19 13 13 19 21 21 21 21 19 21 27 19 27 19 1 27 27 19 27 27 27 27 27 27 27 27 28 28 28 28 28 28 
50,14.000000,9417,1 1 1 1 1 1 1 1 0 1 ,4 7 4 1 3 10 6 6 4 8 8 5 2 10 1 3 10 3 6 4 1 1 1 5 1 7 8 5 5 8 8 8 4 4 4 6 10 10 1 7 1 10 10 10 6 6 6 6 6 4 4 6 7 1 1 1 7 7 3 3 2 8 8 8 4 4 1 5 8 8 4 7 7 1 7 5 5 4 4 5 4 6 3 3 10 3 7 8 3 8 10 2 3 3 2 2 2 2 2 2 
51,19.000000,9106,1 1 1 0 0 1 1 0 0 0 1 0 1 1 0 1 1 0 1 1 ,16 7 20 11 13 14 6 17 16 2 6 20 7 14 7 14 13 17 3 16 1 1 11 20 11 11 16 20 20 16 2 2 20 20 16 6 14 14 11 1 1 14 14 14 17 6 6 6 6 20 16 3 1 11 11 11 7 7 14 13 14 6 2 6 16 16 11 20 2 2 16 1 1 1 11 20 20 20 20 20 20 6 17 13 14 13 7 3 13 2 14 14 14 19 19 14 14 19 14 14 
52,8.000000,9768,0 1 0 1 1 1 1 1 1 1 ,8 8 8 8 8 8 8 8 4 5 5 5 4 5 5 5 5 6 4 9 9 9 4 9 9 10 6 10 10 10 10 10 6 2 7 7 7 7 7 7 7 7 7 7 8 8 5 9 9 6 6 4 5 7 8 6 4 4 4 5 7 10 6 6 4 6 6 7 5 8 7 7 5 4 4 6 4 5 8 2 7 4 4 6 6 4 4 8 10 4 6 6 10 2 6 2 4 5 4 8 
53,15.000000,10192,0 1 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 ,6 6 6 6 6 6 6 6 20 20 20 8 8 8 8 8 8 13 14 13 13 14 13 13 4 10 16 10 10 10 10 10 10 16 19 19 19 19 19 19 19 19 19 19 6 6 8 13 14 16 16 4 8 19 6 16 4 4 2 7 19 16 16 14 4 14 10 6 7 6 18 19 7 4 4 16 4 7 7 16 18 20 14 16 16 4 2 7 16 2 14 16 18 18 16 18 2 7 2 6 
54,13.000000,9627,1 1 1 1 1 1 1 1 1 1 ,10 8 8 8 8 8 8 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 9 9 7 9 9 9 7 9 9 9 4 7 7 7 7 7 7 7 7 7 6 6 7 6 6 6 7 7 1 1 7 1 6 8 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 10 5 10 10 10 10 5 10 3 
